,Importance
Blood Pressure,0.11248335693056297
Fasting Blood Sugar,0.11025573237518635
Age,0.10002648202700659
BMI,0.09685552891843442
Cholesterol Level,0.09493609752651239
Homocysteine Level,0.08623338502536713
CRP Level,0.08568498056087054
Triglyceride Level,0.08478544630571852
Sleep Hours,0.0764618089960043
Alcohol Consumption,0.03328560260958151
Stress Level,0.01917403468804461
Exercise Habits,0.01585242297848168
Sugar Consumption,0.015406286733027007
Gender,0.012012202523960297
Diabetes,0.010069971470178565
High LDL Cholesterol,0.009856451102924066
Family Heart Disease,0.009654562648847145
Smoking,0.009235765815010278
High Blood Pressure,0.009066941372479705
Low HDL Cholesterol,0.008662939391801957
