,Importance
BMI,0.11238655177014747
Homocysteine Level,0.10107486668497673
CRP Level,0.10047899804391218
Sleep Hours,0.09970738284610466
Triglyceride Level,0.09054268542842789
Cholesterol Level,0.08723728154077658
Fasting Blood Sugar,0.08683741390855441
Age,0.08130948490890531
Blood Pressure,0.07888412386305874
Stress Level,0.021992496809197855
Sugar Consumption,0.02024956966660033
Exercise Habits,0.02007304449082647
Alcohol Consumption,0.019341350136616604
Gender,0.012003645550592709
High Blood Pressure,0.011722409369792623
Diabetes,0.011549696423126534
Low HDL Cholesterol,0.011459102874603272
Smoking,0.011426790422748181
High LDL Cholesterol,0.011039924047678364
Family Heart Disease,0.01068318121335319
