Threshold,Precision,Recall,F1-Score,F-beta (beta=0.5),N_Predicted_Positive
0.05,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.06,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.07,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.08,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.09,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.1,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.11,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.12,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.13,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.14,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.15,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.16,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.17,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.18,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.19,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.2,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.21,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.22,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.23,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.24,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.25,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.26,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.27,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.28,0.1998249343503814,0.99875,0.3330207356465562,0.23788257711087293,7997
0.29,0.19984992496248125,0.99875,0.3330554397665694,0.23791090995712244,7996
0.3,0.19982482482482483,0.998125,0.3329858215179316,0.2378753574833175,7992
0.31,0.19987484355444304,0.998125,0.33305526590198126,0.23793206197854586,7990
0.32,0.19967430790429663,0.99625,0.33267244078054886,0.23768340689490633,7983
0.33,0.19939766595557787,0.993125,0.3321141185076811,0.23733420958298482,7969
0.34,0.1989930774071743,0.988125,0.33127291775798845,0.23681845416417016,7945
0.35,0.19865788807292986,0.980625,0.330385344283007,0.236352133044107,7898
0.36,0.19907940161104717,0.973125,0.3305381594310583,0.2367412723512955,7821
0.37,0.19945638105099664,0.963125,0.33047394381299594,0.23704774796948067,7726
0.38,0.1993163292137786,0.9475,0.32935042363675865,0.23669747689233075,7606
0.39,0.19989180416553962,0.92375,0.32866355348009785,0.23704131383115218,7394
0.4,0.19941102229701305,0.88875,0.32573588363303174,0.23602443234630194,7131
0.41,0.20002948113207547,0.848125,0.3237118320610687,0.2361149777282851,6784
0.42,0.20116848255171324,0.79625,0.3211899659649565,0.2365216099806921,6333
0.43,0.2038249483115093,0.739375,0.3195569962182604,0.2383542875564152,5804
0.44,0.2057407050664612,0.6675,0.31453394198203505,0.23877660525845112,5191
0.45,0.2088495575221239,0.59,0.3084967320261438,0.23983739837398377,4520
0.46,0.20974465867639394,0.503125,0.29606472968002945,0.23743511090136857,3838
0.47,0.2146513115802943,0.419375,0.28396106644096486,0.23787577992058986,3126
0.48,0.20493827160493827,0.31125,0.24714640198511167,0.2199646643109541,2430
0.49,0.2138157894736842,0.24375,0.22780373831775702,0.21919964028776975,1824
0.5,0.23190661478599223,0.18625,0.20658578856152512,0.22106824925816027,1285
0.51,0.2244418331374853,0.119375,0.1558547531619747,0.19084732214228617,851
0.52,0.2206148282097649,0.07625,0.1133302368787738,0.16002098635886672,553
0.53,0.2022792022792023,0.044375,0.07278318810866223,0.1181757656458056,351
0.54,0.21674876847290642,0.0275,0.048807542983915694,0.0912106135986733,203
0.55,0.17475728155339806,0.01125,0.021139166177334117,0.04473161033797216,103
0.56,0.175,0.004375,0.00853658536585366,0.01988636363636364,40
0.57,0.06666666666666667,0.000625,0.001238390092879257,0.003012048192771084,15
0.58,0.1111111111111111,0.000625,0.001243008079552517,0.003056234718826406,9
0.59,0.0,0.0,0.0,0.0,4
0.6,0.0,0.0,0.0,0.0,0
0.61,0.0,0.0,0.0,0.0,0
0.62,0.0,0.0,0.0,0.0,0
0.63,0.0,0.0,0.0,0.0,0
0.64,0.0,0.0,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0
0.66,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0
0.68,0.0,0.0,0.0,0.0,0
0.69,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.71,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.0,0.0,0
0.73,0.0,0.0,0.0,0.0,0
0.74,0.0,0.0,0.0,0.0,0
0.75,0.0,0.0,0.0,0.0,0
0.76,0.0,0.0,0.0,0.0,0
0.77,0.0,0.0,0.0,0.0,0
0.78,0.0,0.0,0.0,0.0,0
0.79,0.0,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0
0.81,0.0,0.0,0.0,0.0,0
0.82,0.0,0.0,0.0,0.0,0
0.83,0.0,0.0,0.0,0.0,0
0.84,0.0,0.0,0.0,0.0,0
0.85,0.0,0.0,0.0,0.0,0
0.86,0.0,0.0,0.0,0.0,0
0.87,0.0,0.0,0.0,0.0,0
0.88,0.0,0.0,0.0,0.0,0
0.89,0.0,0.0,0.0,0.0,0
0.9,0.0,0.0,0.0,0.0,0
0.91,0.0,0.0,0.0,0.0,0
0.92,0.0,0.0,0.0,0.0,0
0.93,0.0,0.0,0.0,0.0,0
