,Importance
Fasting Blood Sugar,0.1127289468833775
Blood Pressure,0.10821023742610457
BMI,0.09773323060694786
Cholesterol Level,0.0972678642113004
Age,0.09424366213373071
CRP Level,0.08673562630340588
Homocysteine Level,0.08473471212776358
Triglyceride Level,0.0829472625425438
Sleep Hours,0.0739796414882455
Alcohol Consumption,0.040705136218301116
Stress Level,0.01919164884247326
Sugar Consumption,0.01530893700906419
Exercise Habits,0.015060622952761085
Gender,0.01359595479634399
Diabetes,0.010341853679964293
High LDL Cholesterol,0.010180179945882694
Smoking,0.010089811350805404
Family Heart Disease,0.009300422000359793
High Blood Pressure,0.009150625159167904
Low HDL Cholesterol,0.008493624321456561
