threshold,accuracy,f1,precision,recall,positive_rate
0.2000,0.2000,0.3333,0.2000,1.0000,1.0000
0.2100,0.2000,0.3333,0.2000,1.0000,1.0000
0.2200,0.2000,0.3333,0.2000,1.0000,1.0000
0.2300,0.2000,0.3333,0.2000,1.0000,1.0000
0.2400,0.2000,0.3333,0.2000,1.0000,1.0000
0.2500,0.2000,0.3333,0.2000,1.0000,1.0000
0.2600,0.2000,0.3333,0.2000,1.0000,1.0000
0.2700,0.2000,0.3333,0.2000,1.0000,1.0000
0.2800,0.2000,0.3333,0.2000,1.0000,1.0000
0.2900,0.2000,0.3333,0.2000,1.0000,1.0000
0.3000,0.2000,0.3333,0.2000,1.0000,1.0000
0.3100,0.2000,0.3333,0.2000,1.0000,1.0000
0.3200,0.2000,0.3333,0.2000,1.0000,1.0000
0.3300,0.2000,0.3333,0.2000,1.0000,1.0000
0.3400,0.2000,0.3333,0.2000,1.0000,1.0000
0.3500,0.2000,0.3333,0.2000,1.0000,1.0000
0.3600,0.2001,0.3334,0.2000,1.0000,0.9999
0.3700,0.2009,0.3334,0.2001,0.9994,0.9989
0.3800,0.2013,0.3333,0.2000,0.9981,0.9980
0.3900,0.2035,0.3335,0.2003,0.9962,0.9950
0.4000,0.2076,0.3339,0.2007,0.9931,0.9896
0.4100,0.2124,0.3334,0.2007,0.9850,0.9816
0.4200,0.2215,0.3326,0.2007,0.9700,0.9665
0.4300,0.2352,0.3327,0.2015,0.9531,0.9460
0.4400,0.2542,0.3309,0.2016,0.9219,0.9145
0.4500,0.2761,0.3248,0.1997,0.8706,0.8721
0.4600,0.3106,0.3226,0.2007,0.8206,0.8176
0.4700,0.3519,0.3184,0.2016,0.7569,0.7509
0.4800,0.4019,0.3112,0.2022,0.6756,0.6684
0.4900,0.4590,0.3053,0.2054,0.5944,0.5787
0.5000,0.4851,0.2972,0.2044,0.5444,0.5326
0.5100,0.5810,0.2853,0.2165,0.4181,0.3862
0.5200,0.6322,0.2615,0.2185,0.3256,0.2980
0.5300,0.6723,0.2117,0.2039,0.2200,0.2157
0.5400,0.7157,0.1820,0.2144,0.1581,0.1475
0.5500,0.7421,0.1386,0.2088,0.1037,0.0994
0.5600,0.7621,0.0977,0.2024,0.0644,0.0636
0.5700,0.7775,0.0671,0.2078,0.0400,0.0385
0.5800,0.7854,0.0456,0.2060,0.0256,0.0249
0.5900,0.7910,0.0256,0.1897,0.0138,0.0145
0.6000,0.7951,0.0132,0.1803,0.0069,0.0076
0.6100,0.7977,0.0061,0.1786,0.0031,0.0035
0.6200,0.7984,0.0025,0.1176,0.0013,0.0021
0.6300,0.7995,0.0012,0.1667,0.0006,0.0008
0.6400,0.7997,0.0000,0.0000,0.0000,0.0003
0.6500,0.8000,0.0000,0.0000,0.0000,0.0000
0.6600,0.8000,0.0000,0.0000,0.0000,0.0000
0.6700,0.8000,0.0000,0.0000,0.0000,0.0000
0.6800,0.8000,0.0000,0.0000,0.0000,0.0000
0.6900,0.8000,0.0000,0.0000,0.0000,0.0000
0.7000,0.8000,0.0000,0.0000,0.0000,0.0000
0.7100,0.8000,0.0000,0.0000,0.0000,0.0000
0.7200,0.8000,0.0000,0.0000,0.0000,0.0000
0.7300,0.8000,0.0000,0.0000,0.0000,0.0000
0.7400,0.8000,0.0000,0.0000,0.0000,0.0000
0.7500,0.8000,0.0000,0.0000,0.0000,0.0000
0.7600,0.8000,0.0000,0.0000,0.0000,0.0000
0.7700,0.8000,0.0000,0.0000,0.0000,0.0000
0.7800,0.8000,0.0000,0.0000,0.0000,0.0000
0.7900,0.8000,0.0000,0.0000,0.0000,0.0000
0.8000,0.8000,0.0000,0.0000,0.0000,0.0000
